Iterations;Exec_Time_Micro;Amount_Rec_events;Aver_R_Time_per_event
1;530,7776;0;0
2;933,4262;0;0
3;1264,5002;0;0
4;1581,3674;0;0
5;1884,6631;0;0
6;2237,8434;0;0
7;2545,7296;0;0
8;2856,1659;0;0
9;3154,6782;0;0
10;3455,0746;0;0
1;348,73924;0;0
2;684,70817;0;0
3;996,68433;0;0
4;1312,62521;0;0
5;1636,02238;0;0
6;1962,7917;0;0
7;2289,28248;0;0
8;2618,569;0;0
9;2960,0382;0;0
10;3286,68971;0;0
1;316,114253;0;0
2;621,910245;0;0
3;920,816717;0;0
4;1223,358219;0;0
5;1537,62203;0;0
6;1845,120929;0;0
7;2144,740566;0;0
8;2452,771105;0;0
9;2718,812729;0;0
10;2983,712802;0;0
